Run_ID,Query,Round,Provider,Latency,Text_Chars,Success,Error
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,9,SearchApi,7.982913,0.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,10,SerpApi,0.382387,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,10,SearchApi,1.936689,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,10,SearchApi,2.602386,893.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,10,SerpApi,0.406981,881.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,11,SearchApi,5.644972,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,11,SerpApi,0.423444,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,11,SerpApi,0.152782,881.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,11,SearchApi,2.853832,859.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,12,SerpApi,0.151155,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,12,SearchApi,5.418862,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,12,SearchApi,2.988224,884.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,12,SerpApi,0.569051,881.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,13,SearchApi,1.103664,899.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,13,SerpApi,0.169040,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,13,SerpApi,0.165016,881.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,13,SearchApi,0.959641,893.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,14,SerpApi,0.151973,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,14,SearchApi,1.997675,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,14,SearchApi,3.527674,893.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,14,SerpApi,0.450862,881.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,15,SearchApi,13.252515,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,15,SerpApi,0.414666,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,15,SerpApi,0.160415,881.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,15,SearchApi,1.362895,881.000000,True,
